ticker,final_ror,trade_count
000100,1.2262636525058357,11
000120,1.0532239746238845,7
000150,1.371555383491251,6
000155,1.2206927386097621,9
000240,1.2108874986339753,11
000250,1.16689872834406,6
000270,1.068343843499928,3
000500,1.6805511554164518,16
000660,1.130350788011433,2
000720,1.1648054226051274,4
000810,1.1114148317925325,2
000880,1.441731209689802,10
000990,1.3685767236553266,9
0009K0,1.0524717138734907,1
001040,1.187133153983241,8
001080,1.0844982049062897,9
001430,1.1434804466581558,7
001440,1.3500315554152729,14
001450,1.0747900205339151,2
001720,1.2234633497021268,10
002380,1.0593752604714677,7
002790,1.0965265561862845,5
003230,1.1147709088080935,6
003380,1.0301073140723453,8
003490,1.1561268206932065,5
003530,1.1743238449562887,18
003540,1.0788814249802425,8
003550,1.1418794274248558,4
003570,1.5099884097221965,11
003670,1.0111958836053938,1
003690,1.0216070341542016,8
004020,1.180245674537987,7
004170,1.1204679877005808,6
004370,1.2772926070568913,5
004800,0.0,14
004990,1.4627527110965939,12
005070,1.3684261797383421,6
005290,1.3422754173351907,10
005380,1.3099475254173245,6
005385,1.1514958439725895,5
005387,1.1379458005061112,5
005440,1.246435354501394,11
005490,0.9864294674613094,5
005830,1.0,0
005850,1.0359019421481857,9
005930,1.0111442548621883,1
005935,1.0094324160848227,2
005940,1.1591897043604344,6
006040,1.1037607317829525,11
006260,1.3495712240764488,8
006280,1.1769720667499635,9
006360,1.0330670043939139,4
006400,1.0836294540237272,2
006800,1.2101080651084581,8
00680K,1.099824859660667,9
007070,1.2233185316039752,9
007660,1.3913515953172404,12
008770,1.1164386723750601,7
008930,1.131598386532848,12
009150,1.0921698128356214,4
009420,1.0462830064564366,12
009540,1.0771467798408434,4
009830,1.2246761753307354,6
009970,1.0621670497015199,4
010060,0.9679614061517182,8
010120,1.13379112720471,6
010130,2.046804267110768,12
010140,1.4496347093206359,10
010950,1.0999834862009958,6
011070,1.1662353458739243,6
011170,1.2443339514019494,6
011200,0.97945730400379,6
011210,1.1323442700193795,8
011780,1.2797833015486748,7
011790,1.327848446638483,13
012330,1.197603864614514,7
012450,1.1909978282883988,7
012510,2.1870502062741015,14
0126Z0,1.0,0
012750,0.9793647744230645,4
014680,1.0935409707806425,3
015760,0.9636612789571378,6
016360,1.06883035872643,3
017670,0.993734508541828,2
017800,1.1434337712437668,13
017960,1.0476853138393674,9
018260,1.0401798536398021,3
018670,1.0196554706894492,9
018880,1.3839417496180815,7
020150,1.0551364553093263,7
021240,1.0533526308135055,2
022100,1.529687915550783,9
023530,1.000693699616313,5
023590,1.36406135613069,11
024110,1.0126132404181185,1
026960,1.0835479960056962,6
028050,1.1447403981087612,5
028260,1.3194278047020451,7
028300,1.2637581184361293,12
028670,1.2016219014050826,6
029780,1.1012810335872953,6
030000,1.020652673029742,2
030200,1.0596402649014494,3
030530,3.0034600295180285,16
031210,0.9340842159648671,2
031980,1.4484583452319102,8
032640,1.0013213299569985,3
032820,1.252788069744932,20
032830,1.1087885433678655,5
033780,1.030140670252379,1
034020,1.3655102586405672,10
034220,1.0133609022507655,6
034230,1.1072761233817001,10
034730,1.3872552762078934,8
035250,1.0380016688887173,6
035420,1.1952324478178369,1
035720,1.455915773048218,11
035900,1.005910223913821,5
036460,1.3026595929760074,11
036570,1.0734652365961443,6
036930,1.1328037640534372,7
038500,1.371874375380503,14
039030,1.4352381910032461,8
039200,1.7158926549305085,11
039490,1.1801435401863447,7
041510,0.829907059050106,10
042660,1.8768842720187433,11
042700,2.1065261842988097,13
043260,1.5857096109423028,11
047040,1.0251015554167364,4
047050,1.358559993752203,5
047810,1.1897001539570706,8
051600,1.0715628331616482,3
051900,1.0388840356871252,3
051910,1.1115181548532744,4
052690,1.1666214099802337,15
055550,0.9746680714034825,3
058470,1.1858822341052748,8
058610,1.4591890904723028,9
062040,1.2931302417493378,5
064350,1.2858050619410817,8
064400,1.3000265790135164,5
064760,1.265632006742861,7
065350,0.8876411029390866,9
066570,1.220789381639381,7
066970,1.3345267837061603,7
067310,1.3816640315362179,10
068270,1.0318296562860159,5
068760,1.1029515351838803,8
069620,1.1265720204817058,8
069960,1.1459525194639713,8
071050,1.0507911484911912,5
071970,1.0071751480008684,13
073240,1.1629399684324184,6
078600,1.1690896062077911,6
078930,1.258558459087388,6
079550,1.4579304859428028,8
080220,1.6900203640611844,12
081660,0.9629548550111311,2
082270,0.6811718362044157,10
082740,0.9537888613037709,18
083650,1.7403327130615558,17
084370,1.0809958549476548,8
085620,1.0630282533843314,14
085660,1.415440773531575,10
086280,1.0677098914229886,6
086520,1.5721178969938114,6
086790,1.0855306757706598,1
087010,1.7755417543902445,12
088350,1.3864359965916158,7
088980,1.0,0
089030,1.2314967753741288,12
090430,1.0772282014206138,8
090710,2.2007706695307414,28
095340,1.2951829239065507,8
096770,1.0828894596268652,6
097230,1.350045106513018,20
097950,1.0252503763377354,3
098460,1.815010607544141,8
099320,1.3565755783776379,14
101490,1.0195012286318315,6
103140,1.2945228530110389,17
103590,1.382911290079791,16
105560,1.0156702129088397,2
108490,2.2784398993112087,16
111770,1.0508916614422141,6
112610,1.3367651036391544,7
120110,1.1663921376155981,6
128940,1.0263204441258644,3
138040,1.0027932284913177,4
138930,1.0307218205723547,5
139130,1.1108874215965925,4
139480,1.0852852605675287,3
140410,1.9345129059154018,11
140860,1.0499957542098126,2
141080,1.2386581146903253,9
145020,0.9940860163281426,4
160190,1.9390613074860976,18
161390,1.0936408329669451,2
161890,1.152116455101595,8
175330,1.045274911996965,3
178320,0.8577339690003605,9
180640,1.3839037774183407,13
192820,1.0438369587222387,3
196170,1.6958320139959333,9
204320,1.056164420256533,2
207940,1.222125387894381,5
214150,0.9075456267824357,9
214370,1.4273521462022574,10
214450,1.1069232326093885,6
218410,1.3064271756850918,10
222800,1.4279169701457024,10
226950,1.8980790066197883,14
232140,2.2237525770555946,12
237690,1.2596839734818803,16
240810,1.645950413655779,11
241560,0.8779670572302561,6
247540,1.2011999378325793,5
251270,1.0362614244111188,6
257720,1.581859468632319,12
259960,0.9897317057658154,4
263750,1.0751329730811026,6
267250,1.261376952857936,5
267260,1.1294435850459232,5
267270,1.1680458627265882,11
271560,1.048478822968845,3
272210,1.1732409101840067,14
277810,2.2027073900277117,20
278470,1.2190990852799326,5
282330,1.0607592154841108,4
290650,1.2878267198459454,6
298040,1.1752352439113791,5
298380,1.3095707676676016,12
302440,1.0995059776352594,9
307950,1.8641206914564683,11
310210,1.1051459612742005,7
316140,1.0170242272831342,4
319400,1.0603258344996132,18
319660,1.2115300635377109,6
323280,2.067570949196701,15
323410,1.3047550473821956,8
326030,1.0999215737105572,9
329180,1.2579284514635694,5
336260,0.9517845564103801,10
347700,1.6356340587553722,19
347850,1.7362866396370418,17
352820,1.0382908141489768,5
353200,1.3200676432767575,12
357780,1.0376415163232322,5
361610,1.0628623353671334,4
373220,1.0277381289741157,2
375500,1.0101361187126008,3
377300,0.0,14
383220,1.0691140773566445,5
395400,1.0,0
397030,1.2898123176097873,13
402340,1.0290705795420219,7
403870,1.2875960889458928,9
437730,1.581691921817035,18
439260,1.0528075689387901,2
440110,0.9926705841852252,16
443060,1.0419670441366595,6
445680,1.3824941686967382,12
450080,2.0947226617797896,12
454910,1.7895279536393842,18
456160,1.133565050869207,3
457190,1.7057522120028141,15
458870,1.5183241419570146,14
462870,1.0820034360104638,3
466100,1.49264434537814,12
475830,1.1127801921623435,5
483650,1.0279187817258881,1
489790,1.4595649860405537,7
950160,2.120988162750338,17
